store,address,zip,status,updated,long,lat
Jewel - Osco,87 W 87th St,60620,OPEN,6/3/2020 17:00,-87.626243,41.736172
Farm on Ogden,3555 W OGDEN AVE,60623,OPEN,6/10/2020 0:00,-87.71437,41.854608
Jewel - Osco,5343 N Broadway St,60640-2311,OPEN,6/3/2020 17:00,-87.659887,41.978998
International Foods NW,4404 W FULLERTON AVE,60639,OPEN,6/10/2020 0:00,-87.737127,41.924425
Jewel - Osco,2520 N Narragansett Ave,60639-1041,OPEN,6/3/2020 17:00,-87.785559,41.926236
Mariano's Fresh Market,40 S Halsted St,60661-3506,OPEN,,-87.647384,41.880557
Mariano's Fresh Market,3145 South Ashland Ave,60608,OPEN,6/5/2020 13:21,-87.665638,41.836512
Aldi,7800 S South Chicago Ave,60619-2724,OPEN,6/5/2020 13:21,-87.587472,41.752778
Food 4 Less,7030 S Ashland Ave,60636-3948,OPEN,6/5/2020 13:21,-87.663901,41.765174
Whole Foods Market,1 N Halsted St,60661-2176,OPEN,6/4/2020 15:00,-87.647331,41.882501
Ted's Fresh Market,2840 W Devon Ave,60645,OPEN,6/4/2020 15:00,-87.701088,41.99753
Aldi,4645 W. Diversy Ave,60639,OPEN,6/10/2020 0:00,-87.743743,41.931592
Foodsmart,3415 W Diversey Ave,60647,OPEN,6/4/2020 15:00,-87.712866,41.931959
Shop & Save Market,6312 N Nagle Ave,60646,OPEN,6/4/2020 15:00,-87.787504,41.996164
La Cienega Super Food,10736 S EWING AVE,60617,OPEN,6/10/2020 0:00,-87.535294,41.699723
Chicago Produce,3500 W Lawrence Ave,60625-5612,OPEN,6/4/2020 15:00,-87.715926,41.968373
Paulina Super Market,7622 N Paulina St,60626-1018,OPEN,6/5/2020 13:21,-87.673098,42.020029
Save A Lot,5555 W North Ave,60639,OPEN,6/5/2020 13:21,-87.765278,41.90935
Food 4 Less,112 W 87Th St Ste G1,60620-1318,OPEN,6/5/2020 13:21,-87.628203,41.736274
Fresh Marketplace,2134 N Western Ave,60647,OPEN,6/4/2020 15:00,-87.687562,41.920967
Aldi,4030 W Wrightwood Ave,60639-2125,OPEN,6/4/2020 15:00,-87.728091,41.928127
Pete's Fresh Market,4343 S Pulaski Rd.,60632,OPEN,6/4/2020 15:00,-87.723709,41.813795
Walmart Neighborhood Market,4720 S Cottage Grove Ave,60615-1612,CLOSED,6/10/2020 0:00,-87.606539,41.80867
Fresh Marketplace,5020 W Fullerton Ave,60639,OPEN,6/4/2020 15:00,-87.75198,41.924229
Aldi,1753 N Milwaukee Ave,60647-5423,OPEN,6/4/2020 15:00,-87.681868,41.913241
Costco,1430 S Ashland Ave,60608-2040,OPEN,6/4/2020 15:00,-87.666318,41.862387
Target,1664 W Division St,60622-3922,OPEN,6/10/2020 0:00,-87.670037,41.90332
Morse Fresh Market,1430 W MORSE AVE,60626,OPEN,6/10/2020 0:00,-87.667272,42.007928
Local Market,2101 E 71ST ST,60649,OPEN,6/10/2020 0:00,-87.574498,41.766083
Target,1200 N Larrabee St,60610-1746,OPEN,6/5/2020 13:21,-87.643205,41.903741
Aldi,5001 N Pulaski Rd,60630-2706,OPEN,,-87.728134,41.972832
Aldi,3320 W Belmont Ave,60618-5513,OPEN,6/4/2020 15:00,-87.710816,41.939357
Old World Market,5129 N BROADWAY,60640,OPEN,6/10/2020 0:00,-87.659793,41.975531
Jewel - Osco,1340 S Canal St,60607,OPEN,6/3/2020 17:00,-87.639156,41.864386
Park to Shop Supermarket Canal,1835 S CANAL ST,60616,OPEN,6/10/2020 0:00,-87.638889,41.856363
Jewel - Osco,2940 N Ashland Ave,60657-4004,OPEN,6/3/2020 17:00,-87.66857,41.93556
La Merced,4335 W 26TH ST,60623,OPEN,6/10/2020 0:00,-87.732431,41.844143
Aldi,6621 S Cottage Grove Ave,60637-4126,OPEN,6/5/2020 13:21,-87.6058,41.774139
Fairplay Neighborhood Market,2200 S Western Ave.,60608,OPEN,6/4/2020 15:00,-87.685717,41.851983
Fresh Farms,2626 W Devon Ave,60659,OPEN,6/4/2020 15:00,-87.695711,41.997625
Jewel - Osco,9400 S Ashland Ave,60620-5121,OPEN,6/3/2020 17:00,-87.662811,41.723015
Aldi,1508 W 47th St,60609-3236,OPEN,6/5/2020 13:21,-87.662937,41.808677
Aldi,6221 N Broadway St,60660-1902,OPEN,6/4/2020 15:00,-87.660357,41.995236
Carnival Grocery & Liquor,458 W Dickens Ave,60614,OPEN,6/5/2020 13:21,-87.640843,41.920154
Food 4 Less,4821 W North Ave,60639-4529,OPEN,6/5/2020 13:21,-87.747691,41.909574
Whole Foods Market,6020 N Cicero Ave,60646-4302,OPEN,6/4/2020 15:00,-87.748332,41.990481
Walmart,8331 S Stewart Ave,60620-1728,CLOSED,6/10/2020 0:00,-87.634052,41.740814
Target,3300 N Ashland Ave,60657-2109,OPEN,6/5/2020 13:21,-87.668754,41.941143
Supermercado Chapala,7117 N CLARK ST,60626,OPEN,6/10/2020 0:00,-87.674552,42.012
Grocery Basket,351 E 103RD ST,60628,OPEN,6/10/2020 0:00,-87.614178,41.707306
Carniceria La Hacienda,2744 W 55th St,60632,OPEN,6/4/2020 15:00,-87.693138,41.793733
Carniceria Jimenez,4204 W North Ave,60639,OPEN,6/3/2020 21:30,-87.73185,41.909879
Pete's Fresh Market,2333 W Madison St.,60612,OPEN,6/4/2020 15:00,-87.68456,41.881155
Target,6422 N Sheridan Rd Unit A,60626-5336,OPEN,6/5/2020 13:21,-87.660677,41.998785
Jewel - Osco,370 N Desplaines St,60661-1106,OPEN,6/3/2020 17:00,-87.644337,41.888757
Walmart,2844 N Broadway St,60657-6017,CLOSED,6/10/2020 0:00,-87.644278,41.934267
Trader Joe's,3745 N LINCOLN AVE,60613,OPEN,6/10/2020 0:00,-87.675803,41.949969
Cermak Produce,3435 S Archer,60608,OPEN,6/4/2020 15:00,-87.676229,41.831333
Aldi,7345 S State St,60619-1622,OPEN,6/5/2020 13:21,-87.624864,41.760589
Target,1 S State St,60603-2802,OPEN,6/5/2020 13:21,-87.627731,41.881754
Fresh Marketplace,2600 N Central Ave,60639,OPEN,6/4/2020 15:00,-87.766131,41.928447
Mario's Butcher Shop,5817 W Madison St,60644,OPEN,6/4/2020 15:00,-87.770457,41.880104
Super Mercado Roman,6978 N CLARK ST,60626,OPEN,6/10/2020 0:00,-87.673898,42.008677
County Fair Foods,10800 S Western Avenue,60643,OPEN,6/4/2020 15:00,-87.6814,41.697149
Aldi,7627 S Ashland Ave,60620-4248,OPEN,6/5/2020 13:21,-87.663497,41.75482
Aldi,2333 E 95th St,60617-4806,OPEN,6/5/2020 13:21,-87.566623,41.722569
Save A Lot,344 E 63rd St,60637,OPEN,6/5/2020 13:21,-87.616756,41.780225
Costco,2746 N Clybourn Ave,60614-1006,OPEN,6/5/2020 13:21,-87.676224,41.930664
Jewel - Osco,5516 N Clark St,60640-1214,OPEN,6/3/2020 17:00,-87.668645,41.982857
Farmer's Best Market,6420 W FULLERTON AVE,60707,OPEN,6/10/2020 0:00,-87.790105,41.923654
Bockwinkel's at McClurg,320 E Ohio,60601,OPEN,,-87.619678,41.892621
Food Town,935 E 79TH ST,60619,OPEN,6/10/2020 0:00,-87.601174,41.751322
Mariano's Fresh Market,1500 N Clybourn Ave. #C104,60610,OPEN,6/5/2020 13:21,-87.646261,41.908623
Supermercado El Guero,1701 W 47th Street,60609,OPEN,6/4/2020 15:00,-87.667504,41.808611
Save A Lot,4439 W 63rd St,60629,OPEN,6/4/2020 15:00,-87.734011,41.778509
Pete's Fresh Market,2526 W Cermak Rd.,60608,OPEN,6/4/2020 15:00,-87.689379,41.852011
Cermak Produce,5220 S Pulaski,60632,OPEN,6/4/2020 15:00,-87.723369,41.797972
Jewel - Osco,1341 N Paulina St,60622-2145,OPEN,6/3/2020 17:00,-87.670004,41.906389
Mariano's Fresh Market,3857 S Dr. Martin Luther King Jr. Dr.,60653,OPEN,6/5/2020 13:21,,
Tony's Finer Foods,4608 W. Belmont Avenue,60641,OPEN,6/4/2020 15:00,-87.742133,41.938918
Bockwinkel's Fresh Express,155 N Harbor Drive,60601,OPEN,,-87.615743,41.88494
Target,2939 W Addison St,60618-4635,OPEN,6/5/2020 13:21,-87.701338,41.94667
Cermak Produce,6623 Damen Ave,60645,OPEN,6/4/2020 15:00,-87.680301,42.002765
Whole Foods Market,832 W 63rd St,60621-1902,OPEN,6/4/2020 15:00,-87.646252,41.779755
Mariano's Fresh Market,5353 N Elston,60630,OPEN,6/5/2020 13:21,-87.757473,41.978765
Aldi,2431 W Montrose Ave,60618-1605,OPEN,6/4/2020 15:00,-87.689822,41.961329
Aldi,3030 S Kedzie Ave,60623-4713,OPEN,6/4/2020 15:00,-87.704836,41.838177
Gordon Food Service Store,6431 W FULLERTON AVE,60707,OPEN,6/10/2020 0:00,-87.786653,41.923634
Cermak Produce,4401 W ARMITAGE AVE,60639,OPEN,6/10/2020 0:00,-87.737017,41.91706
Target,1101 W Jackson Blvd,60607-2905,OPEN,6/5/2020 13:21,-87.654886,41.877858
Whole Foods Market,5118 S Lake Park Ave,60615-4115,OPEN,6/4/2020 15:00,-87.587718,41.801735
Supermercado El Guero,2101 W Cermak Rd,60608,OPEN,6/4/2020 15:00,-87.678526,41.852157
Aldi,4645 W Diversey Ave,60639-1828,OPEN,6/4/2020 15:00,-87.743743,41.931592
Supermercado El Guero,4023 S Archer Ave.,60632,OPEN,6/4/2020 15:00,-87.693738,41.820567
Walmart,3320 South Cicero Avenue,,OPEN,6/10/2020 0:00,-87.74364,41.830299
Beverly Food Mart,8636 S ASHLAND AVE,60620,OPEN,6/10/2020 0:00,-87.663181,41.73671
Food Market La Chicquita,3555 W 26th Street,60623,OPEN,6/4/2020 15:00,-87.714614,41.844396
Aldi,6520 W Fullerton Ave,60707-3431,OPEN,6/4/2020 15:00,-87.788159,41.923717
