Mural Registration ID,Artist Credit,Artwork Title,Media,Year Installed,Year Restored,Location Description,Street Address,Zip,Ward,Community Area Number,Affiliated (or Commissioning) Organization,Description of Artwork,Latitude,Longitude,Location
19006,John Pitman Weber,TILT (Together Protect the Community),,1976,2005,,2100 West Division St,60622,2,25,Chicago Public Art Group,,41.90325452,-87.67982505,POINT (-87.67982505 41.90325452)
19043,"Rahmaan Statik, Max Sansing",Sepia,Paint,2016,,,2230 S. Central Park Ave,60623,22,,Chicago Public Art Group,,41.850922,-87.715009,POINT (-87.715009 41.850922)
19064,Damon Reed & Moses Ball,Change Makers,,2006,,,3819 Ogden Ave,60623,22,,Chicago Public Art Group,Artists: Damon Reed & Moses Ball2005,,,
19154,Shawnimals,,Paint,2018,,Cards Against Humanity HQ,1551 W Homer Street,60642,2,22,Cards Against Humanity HQ,"Shawn Smith, creator of Shawnimals and Ninjatown, makes things that inspire and delight people.",41.91720864,-87.66683738,POINT (-87.66683738 41.91720864)
19161,Cara Feeney,Community Mural,Paint,2016,,Red Line CTA Viaduct on Ardmore,1124-1160 W Ardmore Ave,60660,48,,,City of Chicago granted us rights to use the wall for public art. I have the original documents we filled out granting access to use the wall.,41.987298,-87.658921,POINT (-87.658921 41.987298)
19182,ASVP,Make Your Own Luck,Paint,2015,,,1 E Balbo,60605,4,32,Wabash Arts Corridor,,41.87298295,-87.62752137,POINT (-87.62752137 41.87298295)
19212,Chad Kouri,Imitation Aura,paint,2019,,Underneath CTA tracks on Freestanding Wall,3410 N. Southport Avenue,60657,44,06,Lakeview Chamber of Commerce,,41.94375528,-87.66407359,POINT (-87.66407359000002 41.94375528)
19277,Jenny Vyas,HowWillYouRise,,2019,,Uptown Ace Hardware,4654 North Broadway,60640,46,,,,41.96675345,-87.65849862,POINT (-87.65849862 41.96675345)
19070,"Andy Bellomo, Bernard Williams",Chinatown Centenial Mural,Paint and Mixed Media,2015,,S Archer Ave between S Wentworth Ave and S Clark St,2026 South Clark St,60616,25,35,Chicago Public Art Group,,41.8545508,-87.63028972,POINT (-87.63028972 41.8545508)
19139,Hector Duarte,Honor Boricua,,1993,,,2601 West Evergreen Ave,60622,26,25,Chicago Public Art Group,Completed 1993. Artist Hector Duarte. This mural was made in collaboration with The Latin United Community Housing Association (LUCHA) depicts a beautiful Puerto Rican flag unfurling in a blue sky. In this mural the people are creating housing for themselves. From 1991,41.90560086,-87.69214278,POINT (-87.69214278 41.90560086)
19102,Dzine and Olivia Gude,Still Deferred; Still Dreaming,,1993,,Boys and Girls Club of Chicago,2950 West Washington Blvd,60612,27,28,Chicago Public Art Group,"Completed 1993. Artists Dzine and Olivia Gude. This unique mural combibes spraycan art with traditional brush mural techniques. The mural design includes images of Martin Luther King Jr., Ghandi, and stencil designs created by children from the MLK Boys and Girls Club. From 1993 (http://picasaweb.google.com/chicagopublicartgroup/1993?feat=embedwebsite)",41.8829604,-87.70082741,POINT (-87.70082741 41.8829604)
19334,Justus Roe,Brightoners,Acrylic and exterior latex paint,2019,,Garage,3631 S Maplewood Ave,60632,12,58,,abstract landscape painting,41.8274976,-87.68849845,POINT (-87.68849845 41.8274976)
19250,Tony Passero,Toro Totem,paint,2017,,,3176 N Kedzie Avenue,60618,33,21,,,41.93931332,-87.70784365,POINT (-87.70784365000002 41.93931332)
19235,Janis Pozzi,Ingles,,1974,2017,,1226 W Ainslie St,60640,46,03,,,41.97155144,-87.66095348,POINT (-87.66095348 41.97155144)
